stop_id,stop_name,stop_url,stop_timezone,stop_lat,stop_lon
ABA,Albany International Airport,https://www.amtrak.com/stations/aba,America/New_York,42.744491,-73.809184
ABB,Abbotsford-Colby,https://www.amtrak.com/stations/abb,America/Chicago,44.928553,-90.314667
ABE,Aberdeen Amtrak Station,https://www.amtrak.com/stations/abe,America/New_York,39.508447,-76.16326
ABQ,Albuquerque Alvarado Transportation Center,https://www.amtrak.com/stations/abq,America/Denver,35.082061,-106.647975
ACA,Antioch-Pittsburg,https://www.amtrak.com/stations/aca,America/Los_Angeles,38.0177,-121.816024
ACD,Arcadia Valley Station,https://www.amtrak.com/stations/acd,America/Chicago,37.592161,-90.624403
ADM,Ardmore Amtrak Station,https://www.amtrak.com/stations/adm,America/Chicago,34.172465,-97.12551
AKV,Arkville Amtrak Bus Stop,https://www.amtrak.com/stations/akv,America/New_York,42.147779,-74.618738
AKY,Ashland Amtrak Station,https://www.amtrak.com/stations/aky,America/New_York,38.480875,-82.639603
ALB,Albany-Rensselaer Amtrak Station,https://www.amtrak.com/stations/alb,America/New_York,42.641029,-73.741147
ALC,Alliance Amtrak,https://www.amtrak.com/stations/alc,America/New_York,40.921275,-81.092904
ALD,Alderson Amtrak,https://www.amtrak.com/stations/ald,America/New_York,37.724277,-80.644856
ALI,Albion,https://www.amtrak.com/stations/ali,America/New_York,42.247196,-84.755814
ALN,Alton Amtrak Station,https://www.amtrak.com/stations/aln,America/Chicago,38.921007,-90.157298
ALP,Alpine Amtrak Station,https://www.amtrak.com/stations/alp,America/Chicago,30.357302,-103.661513
ALT,Altoona Amtrak Station,https://www.amtrak.com/stations/alt,America/New_York,40.514475,-78.40162
ALX,Alexandria,https://www.amtrak.com/stations/alx,America/New_York,38.806503,-77.06233
ALY,Albany Amtrak Station,https://www.amtrak.com/stations/aly,America/Los_Angeles,44.630464,-123.102774
AMS,Amsterdam Amtrak Station,https://www.amtrak.com/stations/ams,America/New_York,42.953719,-74.2195
